Save Set Details

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Backup Type: all
Level: all
Save Time: from earliest available to 12/4/08 4:53:46 PM

Save Set Name,Save Time,Save Set ID,Level,Duration,Save Set Size,Number of Files
/arcbk/,12/18/07 11:02:25 AM,1080506324, ,27,1608008776,36
/arcbk/,12/18/07 11:31:31 AM,1063730847, ,19,1072085664,35
/arcbk/,12/18/07 3:31:34 PM,963081937, ,18,1072090468,35
/arcbk/,12/18/07 8:01:13 PM,845657590, ,15,834852512,35
/arcbk/,12/19/07 1:01:39 AM,778566747, ,18,1072090804,35
/arcbk/,12/19/07 1:46:56 AM,728237815, ,179,11254547104,54
/arcbk/,12/19/07 2:03:48 AM,711461564, ,56,2679849260,38
/arcbk/,12/19/07 2:31:35 AM,661131644, ,18,1072090564,35
/arcbk/,12/19/07 9:31:30 AM,577270768, ,18,1072091728,35
/arcbk/,12/19/07 10:31:35 AM,543719947, ,18,1072091812,35
/arcbk/,12/19/07 4:02:27 PM,392744877, ,27,1608008632,36
/arcbk/,12/19/07 4:31:33 PM,375969408, ,21,1072092176,35
/arcbk/,12/19/07 5:01:36 PM,359194007, ,19,1072092232,35
/arcbk/,12/19/07 8:31:05 PM,258543296, ,12,726858292,35
/arcbk/,12/20/07 1:02:22 AM,208227917, ,26,1608012664,36
/arcbk/,12/20/07 1:49:52 AM,157899122, ,213,13398223732,58
/arcbk/,12/20/07 2:31:37 AM,107569939, ,18,1072092812,35
/arcbk/,12/20/07 9:31:35 AM,6931823, ,19,1072091444,35
/arcbk/,12/20/07 10:31:35 AM,4268348283, ,19,1072093576,35
/arcbk/,12/20/07 11:01:29 AM,4251572857, ,18,1072093120,35
/arcbk/,12/20/07 8:31:13 PM,4016726000, ,15,821943428,35
/arcbk/,12/21/07 1:02:24 AM,3983187842, ,27,1608014260,36
/arcbk/,12/21/07 1:49:59 AM,3932859054, ,212,13398237616,58
/arcbk/,12/21/07 2:31:39 AM,3882529947, ,18,1072093384,35
/arcbk/,12/21/07 11:01:34 AM,3748342829, ,18,1072092072,35
/arcbk/,12/21/07 3:38:45 PM,3647696178, ,97,5895374920,44
/arcbk/,12/21/07 4:01:35 PM,3630920331, ,19,1072095648,35
/arcbk/,12/21/07 8:31:36 PM,3513496000, ,18,1077689668,36
/arcbk/,12/22/07 12:40:15 AM,1835789312, ,112,6967224688,47
/arcbk/,12/22/07 1:03:57 AM,1802236302, ,50,2679854672,38
/arcbk/,12/22/07 1:49:39 AM,1768684585, ,238,13398212236,58
/arcbk/,12/22/07 8:01:09 PM,1416428555, ,13,753083920,36
/arcbk/,12/23/07 1:01:30 AM,1382892144, ,18,1072097916,36
/arcbk/,12/23/07 1:38:58 AM,1332562751, ,97,5895357072,45
/arcbk/,12/23/07 2:10:20 AM,1282233002, ,112,6967211964,47
/arcbk/,12/23/07 8:30:46 PM,963531911, ,10,559355528,36
/arcbk/,12/24/07 1:01:34 AM,929993723, ,19,1072099204,36
/arcbk/,12/24/07 1:49:12 AM,879664933, ,209,12862318436,58
/arcbk/,12/24/07 9:02:59 AM,728695967, ,37,2143936224,38
/arcbk/,12/24/07 9:37:49 AM,711920836, ,90,5359461176,44
/arcbk/,12/24/07 10:34:05 AM,678369792, ,46,2679855232,39
/arcbk/,12/24/07 8:33:14 PM,426747537, ,37,2143932056,38
/arcbk/,12/24/07 9:31:37 PM,393196616, ,19,1124025620,37
/arcbk/,12/25/07 1:01:35 AM,359654786, ,19,1072097180,36
/arcbk/,12/25/07 1:48:37 AM,309325965, ,227,12326392704,57
/arcbk/,12/25/07 2:31:36 AM,258996913, ,20,1072100952,36
/arcbk/,12/25/07 10:01:37 AM,158360610, ,20,1072101120,36
/arcbk/,12/25/07 11:31:33 AM,108034349, ,19,1072102256,36
/arcbk/,12/25/07 3:31:37 PM,7385442, ,19,1072102452,36
/arcbk/,12/25/07 4:01:38 PM,4285577321, ,19,1072102508,36
/arcbk/,12/25/07 7:01:36 PM,4201702022, ,19,1072102676,36
/arcbk/,12/25/07 8:31:01 PM,4168152947, ,13,658225008,36
/arcbk/,12/26/07 1:01:35 AM,4117837531, ,18,1072102872,36
